name,Happiness/Sadness,Hopeful/Uncertainty,Secure/Insecure,assignedLands,contractor,cropSize,currentActivity,currentDay,currentPeasantLeisureType,currentSeason,daysToWorkForOther,farm,health,initialHealth,initialMoney,internalCurrentDate,loanAmountToPay,money,newDay,peasantFamilyAffinity,peasantFamilyHelper,peasantFamilyLandAlias,peasantFamilyMinimalVital,peasantFriendsAffinity,peasantKind,peasantLeisureAffinity,pesticidesAvailable,purpose,rainfallConditions,robberyAccount,seeds,timeLeftOnDay,toPay,tools,totalHarvestedWeight,waterAvailable,Emotions
PeasantFamily_7,99.009.997,95.009.995,95.009.995,"[{'farmName': 'farm_17_large', 'landName': 'land_386', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_17_large', 'landName': 'land_366', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_17_large', 'landName': 'land_388', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_17_large', 'landName': 'land_387', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_17_large', 'landName': 'land_349', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_17_large', 'landName': 'land_346', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_17_large', 'landName': 'land_368', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_17_large', 'landName': 'land_367', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_17_large', 'landName': 'land_389', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_17_large', 'landName': 'land_348', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_17_large', 'landName': 'land_347', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_17_large', 'landName': 'land_369', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",,0,NONE,366,NONE,NONE,0,TRUE,93,86,2056206,01/01/2023,0,2006206,TRUE,654.247.583.583.771,,farm_17_large,10000,46.731.970.255.983.600,StablePeasant,3.738.557.620.478.690,0,farmer,normal,0,794,24,0,10,1.016.510.541.322.220,1934,SI
PeasantFamily_40,99.029.994,9.502.999,9.502.999,"[{'farmName': 'farm_26_medium', 'landName': 'land_155', 'elapsedWorkTime': 40, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_26_medium', 'landName': 'land_176', 'elapsedWorkTime': 0, 'kind': 'water', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_26_medium', 'landName': 'land_156', 'elapsedWorkTime': 0, 'kind': 'water', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_26_medium', 'landName': 'land_175', 'elapsedWorkTime': 40, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",,0,NONE,366,NONE,NONE,0,TRUE,93,87,2066078,01/01/2023,0,1524078,TRUE,6.573.886.421.150.270,,farm_26_medium,10000,4.695.633.157.964.480,StablePeasant,37.565.065.263.715.800,0,farmer,normal,0,859,24,0,10,6.216.691.849.915.960,1939,SI
PeasantFamily_49,9.903,9.702,9.702,"[{'farmName': 'farm_11_large', 'landName': 'land_298', 'elapsedWorkTime': 24, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_11_large', 'landName': 'land_297', 'elapsedWorkTime': 16, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_11_large', 'landName': 'land_278', 'elapsedWorkTime': 0, 'kind': 'water', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_11_large', 'landName': 'land_300', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_11_large', 'landName': 'land_277', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_11_large', 'landName': 'land_299', 'elapsedWorkTime': 0, 'kind': 'water', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_11_large', 'landName': 'land_260', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_11_large', 'landName': 'land_280', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_11_large', 'landName': 'land_258', 'elapsedWorkTime': 0, 'kind': 'water', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_11_large', 'landName': 'land_257', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_11_large', 'landName': 'land_279', 'elapsedWorkTime': 0, 'kind': 'water', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_11_large', 'landName': 'land_259', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",,1,NONE,366,NONE,NONE,0,TRUE,100,104,2301721,01/01/2023,0,3638721,TRUE,7.323.658.594.403.550,,farm_11_large,10000,5.231.184.710.288.250,StablePeasant,4.184.947.768.230.600,0,farmer,normal,0,926,24,0,10,10.699.290.575.857.700,2046,SI
PeasantFamily_34,9.901.999,97.019.994,97.019.994,"[{'farmName': 'farm_35_medium', 'landName': 'land_221', 'elapsedWorkTime': 24, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_35_medium', 'landName': 'land_242', 'elapsedWorkTime': 16, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_35_medium', 'landName': 'land_222', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_35_medium', 'landName': 'land_241', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",,0,NONE,366,NONE,NONE,0,TRUE,91,83,2014949,01/01/2023,0,1446949,TRUE,6.411.202.837.063.550,,farm_35_medium,10000,45.794.305.979.025.400,StablePeasant,3.663.544.478.322.030,0,farmer,normal,0,795,24,0,10,832.098.397.568.391,1915,SI
PeasantFamily_47,99.039.996,93.029.994,93.029.994,"[{'farmName': 'farm_27_medium', 'landName': 'land_177', 'elapsedWorkTime': 32, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_27_medium', 'landName': 'land_157', 'elapsedWorkTime': 8, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_27_medium', 'landName': 'land_178', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_27_medium', 'landName': 'land_158', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",,0,NONE,366,NONE,NONE,0,TRUE,90,81,1989500,01/01/2023,0,493500,TRUE,6.330.228.938.735.670,,farm_27_medium,10000,45.215.920.990.969.000,StablePeasant,3.617.273.679.277.520,0,farmer,normal,0,784,24,0,10,7.423.647.875.027.530,1904,SI
PeasantFamily_19,99.029.994,97.009.987,97.009.987,"[{'farmName': 'farm_1_large', 'landName': 'land_55', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_1_large', 'landName': 'land_56', 'elapsedWorkTime': 0, 'kind': 'water', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_1_large', 'landName': 'land_35', 'elapsedWorkTime': 0, 'kind': 'water', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_1_large', 'landName': 'land_57', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_1_large', 'landName': 'land_36', 'elapsedWorkTime': 0, 'kind': 'water', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_1_large', 'landName': 'land_58', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_1_large', 'landName': 'land_15', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_1_large', 'landName': 'land_37', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_1_large', 'landName': 'land_16', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_1_large', 'landName': 'land_38', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_1_large', 'landName': 'land_17', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_1_large', 'landName': 'land_18', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",,1,NONE,366,NONE,NONE,0,TRUE,100,101,2236981,01/01/2023,0,1615981,TRUE,7.117.667.127.894.600,,farm_1_large,10000,5.084.047.948.496.140,StablePeasant,40.672.383.587.969.100,0,farmer,normal,0,896,24,0,10,8.683.370.862.585.920,2016,SI
PeasantFamily_27,99.029.994,95.029.986,95.029.986,"[{'farmName': 'farm_16_large', 'landName': 'land_353', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_16_large', 'landName': 'land_352', 'elapsedWorkTime': 24, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_16_large', 'landName': 'land_374', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_16_large', 'landName': 'land_354', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_16_large', 'landName': 'land_371', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_16_large', 'landName': 'land_393', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_16_large', 'landName': 'land_392', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_16_large', 'landName': 'land_351', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_16_large', 'landName': 'land_373', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_16_large', 'landName': 'land_372', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_16_large', 'landName': 'land_394', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_16_large', 'landName': 'land_391', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",,0,NONE,366,NONE,NONE,0,TRUE,92,85,2034553,01/01/2023,0,3041553,TRUE,6.473.578.569.098.450,,farm_16_large,10000,4.623.984.692.213.180,StablePeasant,36.991.877.537.705.400,0,farmer,normal,0,804,24,0,10,9.311.940.773.464.510,1924,SI
PeasantFamily_46,9.901,0.97,0.97,"[{'farmName': 'farm_71_small', 'landName': 'land_120', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_71_small', 'landName': 'land_361', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",,0,NONE,366,NONE,NONE,0,TRUE,90,81,1988505,01/01/2023,0,1474505,TRUE,6.327.064.379.424.540,,farm_71_small,10000,45.193.316.995.889.500,StablePeasant,3.615.465.359.671.160,0,farmer,normal,0,803,24,0,10,7.042.566.811.724.350,1903,SI
PeasantFamily_64,99.009.997,94.039.977,94.039.977,"[{'farmName': 'farm_33_medium', 'landName': 'land_179', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_33_medium', 'landName': 'land_180', 'elapsedWorkTime': 0, 'kind': 'water', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_33_medium', 'landName': 'land_160', 'elapsedWorkTime': 0, 'kind': 'water', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_33_medium', 'landName': 'land_159', 'elapsedWorkTime': 8, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",,0,NONE,366,NONE,NONE,0,TRUE,95,90,2095263,01/01/2023,0,1516263,TRUE,6.666.747.976.308.120,,farm_33_medium,10000,47.619.628.402.200.900,StablePeasant,38.095.702.721.760.700,0,farmer,normal,0,852,24,0,10,68.658.134.295.671,1952,SI
PeasantFamily_25,99.039.996,9.701.999,9.701.999,"[{'farmName': 'farm_14_large', 'landName': 'land_342', 'elapsedWorkTime': 8, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_14_large', 'landName': 'land_364', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_14_large', 'landName': 'land_363', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_14_large', 'landName': 'land_385', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_14_large', 'landName': 'land_344', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_14_large', 'landName': 'land_343', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_14_large', 'landName': 'land_365', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_14_large', 'landName': 'land_382', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_14_large', 'landName': 'land_362', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_14_large', 'landName': 'land_384', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_14_large', 'landName': 'land_383', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_14_large', 'landName': 'land_345', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",,0,NONE,366,NONE,NONE,0,TRUE,93,86,2055991,01/01/2023,0,1391991,TRUE,6.541.791.580.301.110,,farm_14_large,10000,46.727.082.716.436.500,StablePeasant,37.381.666.173.149.200,0,farmer,normal,0,814,24,0,10,8.863.428.800.634.780,1934,SI
PeasantFamily_28,99.039.996,9.302,9.302,"[{'farmName': 'farm_12_large', 'landName': 'land_275', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_12_large', 'landName': 'land_272', 'elapsedWorkTime': 8, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_12_large', 'landName': 'land_294', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_12_large', 'landName': 'land_293', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_12_large', 'landName': 'land_274', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_12_large', 'landName': 'land_273', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_12_large', 'landName': 'land_295', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_12_large', 'landName': 'land_292', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_12_large', 'landName': 'land_313', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_12_large', 'landName': 'land_312', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_12_large', 'landName': 'land_315', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_12_large', 'landName': 'land_314', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",,0,NONE,366,NONE,NONE,0,TRUE,92,84,2028198,01/01/2023,0,2238198,TRUE,6.453.359.216.517.140,,farm_12_large,10000,4.609.542.297.512.240,StablePeasant,36.876.338.380.097.900,0,farmer,normal,0,781,24,0,10,9.964.468.534.932.820,1921,SI
PeasantFamily_22,99.009.997,9.700.999,9.700.999,"[{'farmName': 'farm_4_large', 'landName': 'land_135', 'elapsedWorkTime': 8, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_4_large', 'landName': 'land_95', 'elapsedWorkTime': 48, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_4_large', 'landName': 'land_96', 'elapsedWorkTime': 0, 'kind': 'water', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_4_large', 'landName': 'land_97', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_4_large', 'landName': 'land_98', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_4_large', 'landName': 'land_118', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_4_large', 'landName': 'land_115', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_4_large', 'landName': 'land_137', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_4_large', 'landName': 'land_136', 'elapsedWorkTime': 0, 'kind': 'water', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_4_large', 'landName': 'land_117', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_4_large', 'landName': 'land_116', 'elapsedWorkTime': 0, 'kind': 'water', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_4_large', 'landName': 'land_138', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",,1,NONE,366,NONE,NONE,0,TRUE,100,108,2389382,01/01/2023,0,3170382,TRUE,7.602.580.743.542.260,,farm_4_large,10000,5.430.414.816.815.900,StablePeasant,43.443.318.534.527.200,0,farmer,normal,0,966,24,0,10,955.756.956.471.856,2086,SI
